iter	Passed	Remaining
324	1344	6931
325	1348	6924
326	1352	6918
327	1355	6910
328	1358	6901
329	1363	6898
330	1366	6890
331	1370	6883
332	1373	6876
333	1377	6869
334	1380	6863
335	1384	6854
336	1387	6848
337	1391	6843
338	1396	6840
339	1399	6832
340	1402	6824
341	1405	6815
342	1409	6811
343	1414	6807
344	1418	6802
345	1421	6795
346	1424	6787
347	1428	6782
348	1432	6778
349	1436	6774
350	1440	6767
351	1444	6764
352	1448	6757
353	1452	6752
354	1456	6749
355	1460	6745
356	1464	6738
357	1468	6736
358	1472	6732
359	1476	6724
360	1479	6718
361	1483	6712
362	1487	6706
363	1490	6701
364	1494	6696
365	1499	6692
366	1503	6689
367	1506	6682
368	1511	6679
369	1514	6672
370	1518	6667
371	1523	6666
372	1527	6663
373	1531	6657
374	1535	6654
375	1539	6649
376	1543	6643
377	1548	6642
378	1553	6643
379	1559	6646
380	1564	6648
381	1568	6641
382	1571	6636
383	1575	6630
384	1579	6624
385	1583	6622
386	1587	6617
387	1592	6614
388	1596	6612
389	1601	6609
