iter	PRAUC	Logloss
130	0.8422193944	0.5526364369
131	0.8423244832	0.5524040791
132	0.8424017989	0.5523214942
133	0.842500843	0.5522235191
134	0.8428392374	0.5519974465
135	0.8429682837	0.5518945875
136	0.8429625454	0.5518932353
137	0.8430176223	0.5517908209
138	0.8431787995	0.5515916317
139	0.8432076669	0.5515339485
140	0.8433243048	0.5514208484
141	0.8433291122	0.5513823753
142	0.8433368525	0.5513029961
143	0.8437495449	0.551044737
144	0.8438912097	0.5507766645
145	0.8440025477	0.5506978068
146	0.8440693694	0.5505963827
147	0.8442290289	0.5504668655
148	0.8441533493	0.550403233
149	0.8443440215	0.5502221537
150	0.8444922886	0.5499775265
151	0.8448579427	0.5496846745
152	0.8450176959	0.5494709052
153	0.8450742201	0.5493689715
154	0.84511072	0.5492560324
155	0.84511072	0.5492560324
156	0.8451114402	0.5492539571
157	0.8451218986	0.5492262735
158	0.8451019215	0.5492225538
159	0.8452277767	0.5490017144
160	0.8454348721	0.548905826
161	0.8454558404	0.5488750109
162	0.8455779261	0.5487593645
163	0.8456779043	0.5486007212
164	0.8457483761	0.5484242764
165	0.8459007301	0.5483381418
166	0.8459743941	0.5481514005
167	0.8460637312	0.5480601015
168	0.8461395606	0.5479138129
169	0.8464569629	0.5476477745
170	0.8464924451	0.5476095849
171	0.8466332024	0.5474432562
172	0.8468054304	0.5472357636
173	0.846823355	0.5471467695
174	0.8469504452	0.5469639312
175	0.8469354429	0.5469549056
176	0.8469937041	0.5468627377
177	0.8470580517	0.5467910447
178	0.8472012983	0.5466228094
179	0.847286688	0.546457112
180	0.8474573144	0.5462435652
181	0.8475682282	0.5460593869
182	0.847608084	0.5459313368
183	0.8477111126	0.5457431774
184	0.8478471631	0.5455442553
185	0.8478626649	0.5455002675
186	0.8479795485	0.545248216
187	0.8480143532	0.5451805538
188	0.8481113233	0.545044335
189	0.8484855869	0.5447787225
190	0.8485582628	0.5447001775
191	0.8486242837	0.5445529598
192	0.8486548663	0.5444877767
193	0.8488403307	0.5443583119
194	0.8489052203	0.5442305186
195	0.8489551124	0.544192878
196	0.84927389	0.543948282
197	0.8494177072	0.5437287847
198	0.8496295194	0.5435125761
199	0.8496429126	0.5434765219
200	0.8496337611	0.5434261682
201	0.8497269005	0.5432329151
202	0.849755965	0.5431747436
203	0.849803529	0.5430829257
204	0.8498558119	0.5429223694
205	0.8499420937	0.5427716207
206	0.8499623653	0.5427439093
207	0.8500830524	0.5424811811
208	0.8500764896	0.5424783356
209	0.8503866982	0.5421532099
210	0.8504657175	0.5420424199
211	0.8505573943	0.5418968933
212	0.8506411094	0.5417785605
213	0.8507080687	0.5416653807
214	0.8508881444	0.541448111
215	0.8509346054	0.5413738783
216	0.8511112591	0.541071788
217	0.8512355634	0.5408858138
218	0.851467569	0.5406719729
219	0.8515693871	0.5405874622
220	0.851628521	0.5404579678
221	0.8516224664	0.5404575517
222	0.8517257434	0.54035343
223	0.8517314347	0.5403258211
224	0.8518742654	0.5401839465
225	0.8522942462	0.5399029427
226	0.8524023489	0.5397568703
227	0.8526509677	0.5395251251
228	0.8528138455	0.5392203135
229	0.8531016458	0.5389595701
230	0.8532773743	0.538792599
231	0.8534597681	0.5386046431
232	0.8534490413	0.5385920146
233	0.8535748457	0.538402906
234	0.8536621277	0.538225209
235	0.8537874552	0.5380647726
236	0.8540099758	0.5378286508
237	0.854017209	0.5377910343
238	0.854231923	0.5375553811
239	0.8542903924	0.5375077968
240	0.8543335868	0.5374514442
241	0.8544546384	0.5372731597
242	0.8546333489	0.5370896476
243	0.8546429345	0.5370735461
244	0.8546979491	0.5369105702
245	0.8548006408	0.5367497871
246	0.8549380204	0.536623639
247	0.8550581418	0.5365024968
248	0.8552102131	0.5363329881
249	0.8552299975	0.5362946375
250	0.8552574211	0.5362260929
251	0.8554031084	0.5360915775
252	0.8554552053	0.535990596
253	0.8557508492	0.5357068214
254	0.8557739868	0.5356477703
255	0.8559060198	0.5355043913
256	0.8559340705	0.5354649137
257	0.8559471717	0.5353886363
258	0.8559561734	0.5353664271
259	0.8561674129	0.535165907
260	0.8562168711	0.5351057654
261	0.8564109359	0.5348940078
262	0.8566300646	0.5347082637
263	0.8566314285	0.5347000858
264	0.8566899574	0.534662113
265	0.8566847264	0.5346549273
266	0.8568747347	0.5344454543
267	0.8569322002	0.5343164618
268	0.8570409714	0.5341332774
269	0.85714559	0.533964263
270	0.8573259254	0.5337756856
271	0.8574878878	0.5336329507
272	0.8576726706	0.5334369099
273	0.8578716823	0.5332018018
274	0.8579732979	0.5330916161
275	0.8580820318	0.532952918
276	0.8581689984	0.532827842
277	0.858162006	0.5328200996
278	0.8583135424	0.5326898368
279	0.8583130859	0.5326723848
280	0.8583894574	0.5326001117
281	0.8586575141	0.5324274303
282	0.8589328784	0.5321104044
283	0.8589528501	0.5320676303
284	0.858962894	0.5320620165
285	0.8590533989	0.5318578319
286	0.8591611158	0.5316489914
287	0.8592488495	0.5315337834
288	0.8592545905	0.5315087104
289	0.8593531126	0.5313623469
290	0.8595196308	0.5311172703
291	0.8595490516	0.5309961772
292	0.8595565402	0.5309822933
293	0.8597367146	0.5308112355
294	0.8598444326	0.5306837737
295	0.8599100511	0.5305666972
296	0.8601038893	0.5303471019
297	0.860198671	0.530233276
298	0.8602709683	0.530164785
299	0.860265727	0.5301539327
300	0.8602738892	0.5301350009
301	0.8604544474	0.5299424007
302	0.8605848691	0.529794238
303	0.8608505149	0.5295705946
304	0.8610420809	0.5293212615
305	0.8612281076	0.5291254157
306	0.8613066819	0.5289487744
307	0.8613793365	0.5288666308
308	0.8613984987	0.5288476358
309	0.8615283237	0.528712037
310	0.8615742368	0.5286010431
311	0.8615975126	0.5284750081
312	0.8616999397	0.5283472253
313	0.861779166	0.5282096075
314	0.8618372841	0.5281322047
315	0.8618742319	0.5280304463
316	0.8619419328	0.5279456069
317	0.8621146006	0.5277258436
318	0.8621991849	0.5275817641
319	0.8622484153	0.5274872582
320	0.8623854181	0.527302486
321	0.8623874669	0.5272221409
322	0.8625382562	0.5270362527
323	0.8626603133	0.5268614017
324	0.862701491	0.5267605163
325	0.8626991555	0.5267555468
326	0.8627590407	0.5266159032
327	0.8627981884	0.5265474701
328	0.8629504533	0.526348724
329	0.8630495487	0.5262743253
330	0.8630706442	0.5262182456
331	0.8632465553	0.5260180702
332	0.8633795953	0.525855105
333	0.8634666519	0.5257204232
334	0.8635433651	0.5256742841
335	0.8637120064	0.5254590473
336	0.8637504444	0.5254172062
337	0.8637880324	0.5253526708
338	0.8638343772	0.5252301502
339	0.8638679023	0.5251803315
340	0.8638899175	0.5251183427
341	0.8639338403	0.5250797851
342	0.8639365485	0.5250725113
343	0.8640383488	0.5249392501
344	0.8641250186	0.524875606
345	0.8641306801	0.5248697487
346	0.8641342665	0.5248500045
347	0.8643307415	0.5246428363
348	0.8644110298	0.5244812646
349	0.8645547658	0.5243098832
350	0.8646749066	0.5240642309
351	0.8647591939	0.5238880355
352	0.8648168403	0.5238497859
353	0.8649373626	0.5237597202
354	0.8651524038	0.5235592644
355	0.8651640086	0.5235313548
356	0.8653385116	0.5233415674
357	0.8654997957	0.5231416982
358	0.8656590211	0.5229859862
359	0.8658527984	0.5226967734
360	0.8659523161	0.5225241041
361	0.8660102253	0.5224268114
362	0.8660697506	0.5223402355
363	0.8661291236	0.522236915
364	0.8662713659	0.5220992316
365	0.8663622733	0.521955683
366	0.8663887956	0.5219262735
367	0.8665252321	0.5217273622
368	0.8665943915	0.5216335126
369	0.8666563942	0.5215481516
370	0.8667195183	0.521473541
371	0.8667797452	0.5213580558
372	0.8669504025	0.5211642151
373	0.8669462674	0.5211486738
374	0.8670448499	0.5210157076
375	0.8670497522	0.5209993252
376	0.867111158	0.5209255027
377	0.8671596469	0.5208915387
378	0.8672768726	0.520743031
379	0.8673508711	0.5206458031
380	0.8674479158	0.5205685503
381	0.8675160885	0.5204252609
382	0.8676218721	0.5203334718
383	0.8676542628	0.5202698088
384	0.8676929746	0.5202421991
385	0.8677523934	0.5201351686
386	0.8677941314	0.5201051305
387	0.8677965937	0.5200986993
388	0.8679024522	0.5199364339
389	0.8679695782	0.5198078901
